,"bond_code,apply_date,apply_code,player_code,amount_per_stock,plan_amount_100million,actual_amount_100million,result_date,open_date,stock_code,conver_price,winning_rate,end_date",open_price
49,"113534,2019/4/9,754876,753876,2.916,12.54,12.54,2019/4/11,2019/4/30,603876,15.28,0.021,2025/4/8",
50,"127012,2019/3/22,71965,81965,0.8092,50,50,2019/3/26,2019/4/30,1965,9.09,0.07,2025/3/21",
51,"113024,2019/4/8,783611,764611,1.141,29.96,29.96,2019/4/10,2019/4/26,601611,9.87,0.02,2025/4/7",
52,"113532,2019/4/2,754817,753817,1.022,4.6,4.6,2019/4/4,2019/4/24,603817,7.75,0.017,2025/4/1",
53,"113533,2019/4/3,754233,753233,2.499,10,10,2019/4/8,2019/4/24,603233,36.5,0.055,2025/4/2",
54,"128061,2019/3/27,72439,82439,1.1682,10.45,10.45,2019/3/29,2019/4/24,2439,28.29,0.014,2025/3/27",
55,"128062,2019/4/2,72370,82370,1.7987,9.65,9.65,2019/4/4,2019/4/24,2370,16.25,0.029,2025/4/2",
56,"128063,2019/4/3,72631,82631,0.9433,6.3,6.3,2019/4/8,2019/4/24,2631,8.67,0.015,2025/4/3",
57,"113531,2019/3/29,754883,753883,1.147,3.27,3.27,2019/4/2,2019/4/22,603883,60.09,0.033,2024/3/28",
58,"123025,2019/3/29,370567,380567,2.2919,3.75,3.75,2019/4/2,2019/4/19,300567,50.25,0.021,2025/3/29",
59,"113530,2019/3/27,754081,753081,1.567,6.3,6.3,2019/3/29,2019/4/18,603081,16.76,0.021,2025/3/26",
60,"123024,2019/3/21,370700,380700,2.5485,2.1,2.1,2019/3/25,2019/4/17,300700,24.9,0.016,2024/3/21",
61,"110056,2019/3/19,733487,704487,0.91,17.33,17.33,2019/3/21,2019/4/16,600487,21.64,0.018,2025/3/18",
62,"123023,2019/3/20,370335,380335,1.6532,6,6,2019/3/22,2019/4/16,300335,7.19,0.022,2025/3/20",
63,"128060,2019/3/26,72822,82822,0.875,5.25,5.25,2019/3/28,2019/4/15,2822,6.19,0.051,2025/3/26",
64,"110054,2019/3/18,733438,704438,1.287,50,50,2019/3/20,2019/4/10,600438,12.28,0.011,2025/3/17",
65,"123022,2019/3/18,370088,380088,0.535,12.3,12.3,2019/3/20,2019/4/10,300088,6.25,0.011,2025/3/18",
66,"128058,2019/3/7,72139,82139,0.5651,5.73,5.73,2019/3/11,2019/4/8,2139,5.54,0.062,2025/3/7",
67,"110055,2019/3/15,733197,704197,1.986,8.76,8.76,2019/3/19,2019/4/4,600197,17.25,0.018,2025/3/14",
68,"127011,2019/3/8,70887,80887,0.9829,12,12,2019/3/12,2019/4/4,887,11.79,0.008,2025/3/8",
69,"110053,2019/3/14,733919,704919,1.732,200,200,2019/3/18,2019/4/3,600919,7.56,0.039,2025/3/13",
70,"128055,2019/2/27,72391,82391,2.5419,9.14,9.14,2019/3/1,2019/4/3,2391,7.41,0.027,2025/2/27",
71,"113529,2019/3/11,754517,753517,2.439,10,10,2019/3/13,2019/4/2,603517,28.51,0.006,2025/3/10",
72,"128057,2019/3/5,72649,82649,1.0957,5.76,5.76,2019/3/7,2019/4/2,2649,8.81,0.051,2025/3/5",
73,"128059,2019/3/11,72841,82841,1.436,9.42,9.42,2019/3/13,2019/4/2,2841,75.72,0.02,2025/3/11",
74,"110052,2019/3/5,733996,704996,1.534,16,16,2019/3/7,2019/3/29,600996,8.04,0.012,2025/3/4",
75,"123020,2019/3/1,370497,380497,1.8709,4.2,4.2,2019/3/5,2019/3/29,300497,14.93,0.041,2025/3/1",
76,"113022,2019/3/12,783878,764878,1.049,35,35,2019/3/14,2019/3/28,601878,12.46,0.017,2025/3/11",
77,"123021,2019/3/4,370168,380168,1.094,12,12,2019/3/6,2019/3/25,300168,13.6,0.017,2025/3/3",
78,"110051,2019/2/28,733522,704522,1.293,39.65,39.65,2019/3/4,2019/3/22,600522,10.19,0.02,2025/2/27",
79,"123019,2019/2/25,370393,380393,4.1494,10,10,2019/2/27,2019/3/22,300393,13.29,0.061,2025/2/25",
80,"128056,2019/2/28,72863,82863,0.9772,3.68,3.68,2019/3/4,2019/3/22,2863,6.78,0.082,2025/2/28",
81,"113528,2019/3/1,754897,753897,3.553,6.34,6.34,2019/3/5,2019/3/20,603897,24.03,0.038,2025/2/28",
82,"113021,2019/3/4,783998,764998,1.174,400,400,2019/3/6,2019/3/19,601998,7.22,0.018,2025/3/3",
83,"128054,2019/2/15,72891,82891,1.9424,1.94,1.94,2019/2/19,2019/3/14,2891,22.28,0.128,2025/2/15",
84,"128053,2019/2/14,72551,82551,1.0624,7.5,7.5,2019/2/18,2019/3/7,2551,4.89,0.52,2025/2/14",
85,"127009,2019/1/14,70811,80811,0.7796,5.09,5.09,2019/1/16,2019/2/21,811,5.47,0.141,2025/1/14",
86,"113527,2019/1/24,754518,753518,4.131,7.46,7.46,2019/1/28,2019/2/19,603518,10.52,0.395,2025/1/23",
87,"113526,2019/1/23,754797,753797,1.828,3.9,3.9,2019/1/25,2019/2/18,603797,8.72,0.146,2025/1/22",
88,"127010,2019/1/21,70001,80001,1.5142,260,260,2019/1/23,2019/2/18,1,11.63,0.045,2025/1/21",
89,"123018,2018/12/20,370381,380381,1.6348,6.65,6.65,2018/12/24,2019/1/23,300381,8.35,2.348,2024/12/20",
90,"110050,2018/12/19,733728,704728,0.54,8.75,8.75,2018/12/21,2019/1/21,600728,7.89,2.35,2024/12/18",
91,"128052,2018/12/21,72783,82783,0.9849,3.29,3.29,2018/12/25,2019/1/21,2783,6.77,1.442,2024/12/21",
92,"110049,2018/12/18,733690,704690,0.493,30.07,30.07,2018/12/20,2019/1/18,600690,14.2,0.039,2024/12/17",
93,"113525,2018/12/17,754055,753055,0.973,5.33,5.33,2018/12/19,2019/1/11,603055,8.11,0.421,2024/12/16",
94,"128051,2018/12/14,72741,82741,0.6661,2.49,2.49,2018/12/18,2019/1/9,2741,12.72,0.437,2024/12/14",
