Date,Open,High,Low,Close,Adj Close,Volume
2018/8/7,108.559998,109.099998,108.169998,108.879997,107.140198,16080200
2018/8/8,109.330002,109.75,108.760002,109.489998,107.740456,15487500
2018/8/9,109.709999,110.160004,109.599998,109.669998,107.91758,13677200
2018/8/10,109.419998,109.690002,108.379997,109,107.258286,18183700
2018/8/13,109.239998,109.580002,108.099998,108.209999,106.480911,18472500
2018/8/14,108.559998,109.75,108.040001,109.559998,107.809334,16788300
2018/8/15,108.489998,108.989998,106.82,107.660004,106.347382,29982800
2018/8/16,108.300003,108.860001,107.300003,107.639999,106.327629,21384300
2018/8/17,107.360001,107.900002,106.690002,107.580002,106.268364,18061500
2018/8/20,107.510002,107.900002,106.480003,106.870003,105.567017,17914200
2018/8/21,106.919998,107.349998,105.849998,105.980003,104.687874,22881900
2018/8/22,105.849998,107.339996,105.779999,107.059998,105.754692,18000600
2018/8/23,107.150002,108.18,106.870003,107.559998,106.248596,18167700
2018/8/24,107.669998,108.559998,107.559998,108.400002,107.078369,17234000
2018/8/27,109.269997,109.639999,108.510002,109.599998,108.263733,19662300
2018/8/28,109.940002,110.5,109.790001,110.260002,108.91568,19151500
2018/8/29,110.449997,112.029999,110.269997,112.019997,110.654228,20818000
2018/8/30,111.669998,112.610001,111.440002,111.949997,110.585075,22798700
2018/8/31,111.690002,112.779999,111.519997,112.330002,110.960449,23222700
2018/9/4,110.849998,111.959999,110.220001,111.709999,110.348,22634600
2018/9/5,111.010002,111.419998,108.099998,108.489998,107.167267,32872400
2018/9/6,108.25,108.989998,107.510002,108.739998,107.414215,23477600
2018/9/7,108.230003,108.720001,107.230003,108.209999,106.890678,22498600
2018/9/10,108.839996,109.639999,108.360001,109.379997,108.04641,20727900
2018/9/11,108.900002,111.589996,108.889999,111.239998,109.883736,24301800
2018/9/12,111.43,111.849998,110.510002,111.709999,110.348,18891100
2018/9/13,112.120003,113.730003,112.120003,112.910004,111.533379,26055600
2018/9/14,113.360001,113.730003,112.440002,113.370003,111.987762,19122300
2018/9/17,113.690002,113.699997,111.860001,112.139999,110.772758,20736500
2018/9/18,112.190002,113.699997,111.720001,113.209999,111.829712,22170900
2018/9/19,113.050003,113.32,111.040001,111.699997,110.33812,21728400
2018/9/20,112.279999,113.800003,111.93,113.57,112.185326,23714500
2018/9/21,114,115.290001,113.510002,114.260002,112.866913,71229700
2018/9/24,113.029999,114.900002,112.220001,114.669998,113.271919,27334500
2018/9/25,114.800003,115.099998,113.75,114.449997,113.054596,22668000
2018/9/26,114.470001,115.059998,113.739998,113.980003,112.590332,19352000
2018/9/27,114.779999,114.910004,114.199997,114.410004,113.015083,19091300
2018/9/28,114.190002,114.57,113.68,114.370003,112.975578,21647800
2018/10/1,114.75,115.68,114.730003,115.610001,114.200455,18883100
2018/10/2,115.300003,115.839996,114.440002,115.150002,113.746071,20787200
2018/10/3,115.419998,116.18,114.93,115.169998,113.765816,16648000
2018/10/4,114.610001,114.760002,111.629997,112.790001,111.414833,34821700
2018/10/5,112.629997,113.169998,110.639999,112.129997,110.762886,29068900
2018/10/8,111.660004,112.029999,109.339996,110.849998,109.498489,29640600
2018/10/9,111.139999,113.080002,110.800003,112.260002,110.891296,26198600
2018/10/10,111.239998,111.5,105.790001,106.160004,104.865669,61376300
2018/10/11,105.349998,108.93,104.199997,105.910004,104.618721,63904300
2018/10/12,109.010002,111.239998,107.120003,109.57,108.234093,47742100
2018/10/15,108.910004,109.480003,106.949997,107.599998,106.288116,32068100
2018/10/16,109.540001,111.410004,108.949997,111,109.646667,31610200
2018/10/17,111.68,111.809998,109.550003,110.709999,109.360199,26548200
2018/10/18,110.099998,110.529999,107.830002,108.5,107.177139,32506200
2018/10/19,108.93,110.860001,108.209999,108.660004,107.33519,32785500
2018/10/22,109.32,110.540001,108.239998,109.629997,108.293358,26545600
2018/10/23,107.769997,108.970001,105.110001,108.099998,106.782021,43770400
2018/10/24,108.410004,108.489998,101.589996,102.32,101.072495,63897800
2018/10/25,106.550003,109.269997,106.150002,108.300003,106.979584,61646800
2018/10/26,105.690002,108.75,104.760002,106.959999,105.655914,55523100
2018/10/29,108.110001,108.699997,101.629997,103.849998,102.583832,55162000
2018/10/30,103.660004,104.379997,100.110001,103.730003,102.465309,65350900
2018/10/31,105.440002,108.139999,105.389999,106.809998,105.507744,51062400
2018/11/1,107.050003,107.32,105.529999,105.919998,104.628593,33384200
2018/11/2,106.480003,107.32,104.980003,106.160004,104.865669,37680200
2018/11/5,106.370003,107.739998,105.900002,107.510002,106.199211,27922100
2018/11/6,107.379997,108.839996,106.279999,107.720001,106.406654,24340200
2018/11/7,109.440002,112.239998,109.400002,111.959999,110.594955,37901700
2018/11/8,111.800003,112.209999,110.910004,111.75,110.38752,25644100
2018/11/9,110.849998,111.449997,108.760002,109.57,108.234093,32039200
2018/11/12,109.419998,109.959999,106.099998,106.870003,105.567017,33621800
2018/11/13,107.550003,108.739998,106.639999,106.940002,105.636162,35374600
2018/11/14,108.099998,108.260002,104.470001,104.970001,104.13813,39495100
2018/11/15,104.989998,107.800003,103.910004,107.279999,106.429817,38505200
2018/11/16,107.080002,108.879997,106.800003,108.290001,107.431816,33502100
2018/11/19,108.269997,108.559998,103.550003,104.620003,103.790909,44773900
2018/11/20,101.800003,102.970001,99.349998,101.709999,100.903961,64052500
2018/11/21,103.599998,104.43,102.239998,103.110001,102.29287,28130600
2018/11/23,102.169998,103.809998,102,103.07,102.253189,13823100
2018/11/26,104.790001,106.629997,104.580002,106.470001,105.626244,32336200
2018/11/27,106.269997,107.330002,105.360001,107.139999,106.290932,29124500
2018/11/28,107.889999,111.330002,107.860001,111.120003,110.239395,46788500
2018/11/29,110.330002,111.120003,109.029999,110.190002,109.316765,28123200
2018/11/30,110.699997,110.970001,109.360001,110.889999,110.011215,33665600
2018/12/3,113,113.419998,110.730003,112.089996,111.201698,34732800
2018/12/4,111.940002,112.639999,108.209999,108.519997,107.659996,45197000
2018/12/6,105.82,109.239998,105,109.190002,108.324692,49107400
2018/12/7,108.379997,109.449997,104.300003,104.82,103.989311,45044900
2018/12/10,104.800003,107.980003,103.889999,107.589996,106.737358,40801500
2018/12/11,109.800003,110.949997,107.440002,108.589996,107.729439,42381900
2018/12/12,110.889999,111.269997,109.040001,109.080002,108.215561,36183000
2018/12/13,109.580002,110.870003,108.629997,109.449997,108.582626,31333400
2018/12/14,108.25,109.260002,105.5,106.029999,105.189728,47043100
2018/12/17,105.410004,105.800003,101.709999,102.889999,102.074608,56957300
2018/12/18,103.75,104.510002,102.519997,103.970001,103.146057,49319200
2018/12/19,103.650002,106.879997,101.349998,103.690002,102.868271,68198200
2018/12/20,103.050003,104.309998,98.779999,101.510002,100.705551,70334200
2018/12/21,101.629997,103,97.459999,98.230003,97.451546,111242100
2018/12/24,97.68,97.970001,93.980003,94.129997,93.384033,43935200
2018/12/26,95.139999,100.690002,93.959999,100.559998,99.763077,51634800
2018/12/27,99.300003,101.190002,96.400002,101.18,100.378166,49498500
2018/12/28,102.089996,102.410004,99.519997,100.389999,99.594429,38196300
2018/12/31,101.290001,102.400002,100.440002,101.57,100.765076,33173800
2019/1/2,99.550003,101.75,98.940002,101.120003,100.318642,35329300
2019/1/3,100.099998,100.190002,97.199997,97.400002,96.62812,42579100
2019/1/4,99.720001,102.510002,98.93,101.93,101.122223,44060600
2019/1/7,101.639999,103.269997,100.980003,102.059998,101.25119,35656100
2019/1/8,103.040001,103.970001,101.709999,102.800003,101.985329,31514400
2019/1/9,103.860001,104.879997,103.239998,104.269997,103.443672,32280800
2019/1/10,103.220001,103.75,102.379997,103.599998,102.778984,30067600
2019/1/11,103.190002,103.440002,101.639999,102.800003,101.985329,28314200
2019/1/14,101.900002,102.870003,101.260002,102.050003,101.241272,28437100
2019/1/15,102.510002,105.050003,101.879997,105.010002,104.177811,31587600
2019/1/16,105.260002,106.260002,104.959999,105.379997,104.544876,29853900
2019/1/17,105,106.629997,104.760002,106.120003,105.279022,28393000
2019/1/18,107.459999,107.900002,105.910004,107.709999,106.856407,37427600
2019/1/22,106.75,107.099998,104.860001,105.68,104.842506,32371300
2019/1/23,106.120003,107.040001,105.339996,106.709999,105.864342,25874300
2019/1/24,106.860001,107,105.339996,106.199997,105.358376,23164800
2019/1/25,107.239998,107.879997,106.199997,107.169998,106.320686,31225600
2019/1/28,106.260002,106.480003,104.660004,105.080002,104.247253,29476700
2019/1/29,104.879997,104.970001,102.169998,102.940002,102.124214,31490500
2019/1/30,104.620003,106.379997,104.330002,106.379997,105.536957,49471900
2019/1/31,103.800003,105.220001,103.18,104.43,103.602409,55636400
2019/2/1,103.779999,104.099998,102.349998,102.779999,101.965477,35535700
2019/2/4,102.870003,105.800003,102.769997,105.739998,104.902031,31315100
2019/2/5,106.059998,107.269997,105.959999,107.220001,106.3703,27325400
2019/2/6,107,107,105.529999,106.029999,105.189728,20609800
2019/2/7,105.190002,105.589996,104.290001,105.269997,104.435745,29760700
2019/2/8,104.389999,105.779999,104.260002,105.669998,104.832581,21461100
2019/2/11,106.199997,106.580002,104.970001,105.25,104.415909,18914100
2019/2/12,106.139999,107.139999,105.480003,106.889999,106.042915,25056600
2019/2/13,107.5,107.779999,106.709999,106.809998,105.963547,18394900
2019/2/14,106.309998,107.290001,105.660004,106.900002,106.052834,21784700
2019/2/15,107.910004,108.300003,107.360001,108.220001,107.362373,26606900
2019/2/19,107.790001,108.660004,107.779999,108.169998,107.312767,18038500
2019/2/20,107.860001,107.940002,106.290001,107.150002,106.754837,21607700
2019/2/21,106.900002,109.480003,106.870003,109.410004,109.0065,29063200
2019/2/22,110.050003,111.199997,109.82,110.970001,110.560745,27763200
2019/2/25,111.760002,112.18,111.260002,111.589996,111.178452,23750600
2019/2/26,111.260002,113.239998,111.169998,112.360001,111.945618,21536700
2019/2/27,111.690002,112.360001,110.879997,112.169998,111.756317,21487100
2019/2/28,112.040001,112.879997,111.730003,112.029999,111.616837,29083900
2019/3/1,112.889999,113.019997,111.669998,112.529999,112.11499,23501200
2019/3/4,113.019997,113.25,110.800003,112.260002,111.845993,26608000
2019/3/5,112.25,112.389999,111.230003,111.699997,111.288048,19538300
2019/3/6,111.870003,112.660004,111.43,111.75,111.337868,17687000
2019/3/7,111.400002,111.550003,109.870003,110.389999,109.982887,25339000
2019/3/8,109.160004,110.709999,108.800003,110.510002,110.102448,22818400
2019/3/11,110.989998,112.949997,110.980003,112.830002,112.413887,26491600
2019/3/12,112.82,113.989998,112.650002,113.620003,113.200974,26132700
2019/3/13,114.129997,115,113.779999,114.5,114.077728,35513800
2019/3/14,114.540001,115.199997,114.330002,114.589996,114.167389,30763400
2019/3/15,115.339996,117.25,114.589996,115.910004,115.482529,54681100
2019/3/18,116.169998,117.610001,116.050003,117.57,117.136406,31207600
2019/3/19,118.089996,118.440002,116.989998,117.650002,117.21611,37588700
