bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
128033,迪龙转债,2017/12/27,72658,82658,0.8596,5.20亿,5.20亿,2017/12/29,2018/1/29,2658,雪迪龙,13.35,0.039,2023/12/27
128034,江银转债,2018/1/26,72807,82807,1.1316,20.00亿,20.00亿,2018/1/30,2018/2/14,2807,江阴银行,7.02,0.139,2024/1/26
128035,大族转债,2018/2/6,72008,82008,2.1554,23.00亿,23.00亿,2018/2/8,2018/3/5,2008,大族激光,52.7,0.196,2024/2/6
128036,金农转债,2018/3/9,72548,82548,1.7081,6.50亿,6.50亿,2018/3/13,2018/4/2,2548,金新农,9.72,0.05,2024/3/9
128037,岩土转债,2018/3/15,72542,82542,0.3333,6.04亿,6.04亿,2018/3/19,2018/4/25,2542,中化岩土,8.05,0.09,2024/3/15
128038,利欧转债,2018/3/22,72131,82131,0.3932,21.98亿,21.98亿,2018/3/26,2018/4/19,2131,利欧股份,2.76,0.27,2024/3/22
128039,三力转债,2018/6/8,72224,82224,0.9421,6.20亿,6.20亿,2018/6/12,2018/6/29,2224,三力士,5.83,0.133,2024/6/7
128040,华通转债,2018/6/14,72758,82758,1.0666,2.24亿,2.24亿,2018/6/19,2018/7/13,2758,华通医药,11.37,0.043,2024/6/13
128041,盛路转债,2018/7/17,72446,82446,1.3121,10.00亿,10.00亿,2018/7/19,2018/8/14,2446,盛路通信,6.85,0.609,2024/7/16
128042,凯中转债,2018/7/30,72823,82823,1.4274,4.16亿,4.16亿,2018/8/1,2018/9/3,2823,凯中精密,12.99,0.198,2024/7/30
128043,东音转债,2018/8/2,72793,82793,1.4066,2.81亿,2.81亿,2018/8/6,2018/8/27,2793,东音股份,11.13,0.213,2024/8/2
128044,岭南转债,2018/8/14,72717,82717,0.6542,6.60亿,6.60亿,2018/8/16,2018/9/4,2717,岭南股份,5.92,0.872,2024/8/14
128045,机电转债,2018/8/27,72013,82013,0.5819,21.00亿,21.00亿,2018/8/29,2018/9/14,2013,中航机电,7.63,0.119,2024/8/27
128046,利尔转债,2018/10/17,72258,82258,1.6247,8.52亿,8.52亿,2018/10/19,2018/11/9,2258,利尔化学,18.62,0.184,2024/10/17
128047,光电转债,2018/11/5,72179,82179,1.6436,13.00亿,13.00亿,2018/11/7,2018/12/7,2179,中航光电,30.87,0.072,2024/11/5
128048,张行转债,2018/11/12,72839,82839,1.3831,25.00亿,25.00亿,2018/11/14,2018/11/29,2839,张家港行,5.91,0.357,2024/11/12
128049,华源转债,2018/11/27,72787,82787,1.3052,4.00亿,4.00亿,2018/11/29,2018/12/20,2787,华源控股,7.52,0.952,2024/11/27
128050,钧达转债,2018/12/10,72865,82865,2.6298,3.20亿,3.20亿,2018/12/12,2018/12/27,2865,钧达股份,21.66,0.856,2024/12/10
128051,光华转债,2018/12/14,72741,82741,0.6661,2.49亿,2.49亿,2018/12/18,2019/1/9,2741,光华科技,12.72,0.437,2024/12/14
128052,凯龙转债,2018/12/21,72783,82783,0.9849,3.29亿,3.29亿,2018/12/25,2019/1/21,2783,凯龙股份,6.77,1.442,2024/12/21
128053,尚荣转债,2019/2/14,72551,82551,1.0624,7.50亿,7.50亿,2019/2/18,2019/3/7,2551,尚荣医疗,4.89,0.52,2025/2/14
128054,中宠转债,2019/2/15,72891,82891,1.9424,1.94亿,1.94亿,2019/2/19,2019/3/14,2891,中宠股份,22.28,0.128,2025/2/15
128055,长青转2,2019/2/27,72391,82391,2.5419,9.14亿,9.14亿,2019/3/1,2019/4/3,2391,长青股份,7.41,0.027,2025/2/27
128056,今飞转债,2019/2/28,72863,82863,0.9772,3.68亿,3.68亿,2019/3/4,2019/3/22,2863,今飞凯达,6.78,0.082,2025/2/28
128057,博彦转债,2019/3/5,72649,82649,1.0957,5.76亿,5.76亿,2019/3/7,2019/4/2,2649,博彦科技,8.81,0.051,2025/3/5
128058,拓邦转债,2019/3/7,72139,82139,0.5651,5.73亿,5.73亿,2019/3/11,2019/4/8,2139,拓邦股份,5.54,0.062,2025/3/7
128059,视源转债,2019/3/11,72841,82841,1.436,9.42亿,9.42亿,2019/3/13,2019/4/2,2841,视源股份,75.72,0.02,2025/3/11
