Cust_ID,Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
1341,26,274000,100,643,Y,702,1993,54000,47500,0.352233,Active,non-default,IL,"45,787",1
1342,39,342055,102,646,N,805,1622,50000,47500,0.496301,Active,non-default,TX,"41,275",1
1343,57,177950,93,760,N,759,2171,48000,47500,0.349608,Active,non-default,OH,"44,160",1
1344,29,170650,94,624,N,673,2927,52000,47500,0.229928,Active,non-default,PA,"44,286",1
1345,48,114950,95,604,Y,1090,2428,47500,47500,0.448929,Active,non-default,IA,"43,042",1
1346,28,195650,100,674,Y,563,1347,58000,48000,0.417966,Active,non-default,TX,"41,275",1
1347,36,140830,100,632,N,988,5200,50000,48000,0.19,Active,non-default,WI,"47,220",1
1348,24,242100,90,699,N,444,5025,51000,48000,0.088364,Active,non-default,NC,"39,000",1
1349,32,237400,95,729,N,836,2700,49000,48000,0.30963,Active,non-default,GA,"43,217",1
1350,37,108000,90,644,N,885,2459,50000,48000,0.359902,Active,non-default,PA,"44,286",1
1351,42,368000,80,615,N,491,1817,48000,48000,0.270226,Active,non-default,PA,"44,286",1
1352,53,219250,80,632,N,548,1571,55000,48000,0.348822,Active,non-default,OH,"44,160",1
1353,45,148000,80,755,N,435,3293,65000,48000,0.132098,Active,non-default,IL,"45,787",1
1354,37,130500,90,737,N,456,1690,48500,48500,0.269822,Active,non-default,PA,"44,286",1
1355,32,135000,90,785,N,485,3500,53000,48500,0.138571,Active,non-default,TX,"41,275",1
1356,37,230000,100,692,N,489,750,53000,48840,0.652,Active,non-default,TX,"41,275",1
1357,43,215000,100,661,Y,598,1488,49000,48900,0.401882,Active,non-default,PA,"44,286",1
1358,37,300000,80,714,N,448,1052,50000,48900,0.425856,Active,non-default,TN,"38,550",1
1359,52,140650,97,650,N,1098,2496,49000,49000,0.439904,Active,non-default,PA,"44,286",1
1360,37,66000,80,757,Y,1026,2083,52000,49000,0.492559,Active,non-default,IN,"43,003",1
1361,41,238450,95,642,Y,1104,3820,55000,49000,0.289005,Active,non-default,OH,"44,160",1
1362,30,200000,92,696,Y,578,1734,54000,49000,0.333333,Active,non-default,MN,"55,914",1
1363,29,174150,90,537,Y,1083,2914,53000,49200,0.371654,Active,non-default,TX,"41,275",1
1364,44,118648,100,801,N,1320,5574,49500,49500,0.236814,Active,non-default,TN,"38,550",1
1365,32,96000,100,713,Y,677,2280,50000,49500,0.29693,Active,non-default,PA,"44,286",1
1366,40,127800,90,692,Y,700,3039,52000,49500,0.230339,Active,non-default,TX,"41,275",1
1367,32,201600,97,535,Y,502,1582,53500,49820,0.31732,Active,non-default,FL,"40,171",1
1368,35,134900,100,669,N,1255,2500,53000,49900,0.502,Active,non-default,TN,"38,550",1
1369,40,203000,100,690,N,550,1906,51000,49900,0.288562,Active,non-default,MO,"43,988",1
1370,43,174150,98,613,N,470,1635,50000,49900,0.287462,Active,non-default,PA,"44,286",1
1371,36,172800,90,657,N,1985,4500,50000,49900,0.441111,Active,non-default,AL,"38,111",1
1372,34,200450,95,661,N,1029,2752,57000,49900,0.37391,Active,non-default,MI,"44,476",1
1373,55,210000,90,651,Y,943,2383,55000,49999,0.39572,Active,non-default,FL,"40,171",1
1374,28,220000,100,763,N,565,2558,50000,50000,0.220876,Active,non-default,TX,"41,275",1
1375,25,154215,100,662,N,673,1848,60000,50000,0.364177,Active,non-default,OH,"44,160",1
1376,27,317500,100,900,N,329,1820,50000,50000,0.180769,Active,non-default,NC,"39,000",1
1377,24,218922,100,808,N,617,2681,50000,50000,0.230138,Active,non-default,PA,"44,286",1
1378,29,230500,100,634,Y,1082,2955,50000,50000,0.366159,Active,non-default,TX,"41,275",1
1379,36,278000,100,708,N,501,920,50000,50000,0.544565,Active,non-default,MI,"44,476",1
1380,37,265000,100,588,Y,759,1197,53000,50000,0.634085,Active,non-default,IL,"45,787",1
1381,36,112000,98,695,Y,499,4833,54000,50000,0.103248,Active,non-default,MO,"43,988",1
1382,37,247500,90,642,N,457,1067,63000,50000,0.428304,Active,non-default,CA,"49,894",1
1383,37,170000,100,775,N,663,1542,58000,50000,0.429961,Active,non-default,PA,"44,286",1
1384,37,161500,95,747,N,1045,2832,72500,50000,0.368997,Active,non-default,OH,"44,160",1
1385,33,128000,100,532,Y,500,2494,68000,50000,0.200481,Active,non-default,VA,"53,275",1
1386,51,243700,98,763,N,516,1200,58000,50001,0.43,Active,non-default,PA,"44,286",1
1387,46,170000,100,710,N,1294,2575,75000,50001,0.502524,Active,non-default,IL,"45,787",1
1388,37,202500,90,756,N,591,2459,51000,50001,0.240342,Active,non-default,TX,"41,275",1
1389,37,171000,95,767,N,893,3888,53500,50900,0.229681,Active,non-default,MI,"44,476",1
1390,37,183350,95,693,N,356,1805,52000,51000,0.19723,Active,non-default,AZ,"42,590",1
1391,41,280500,85,803,Y,485,1430,51000,51000,0.339161,Active,non-default,PA,"44,286",1
1392,37,204250,95,656,N,336,3148,51000,51000,0.106734,Active,non-default,AR,"33,948",1
